biome,site,value,disturbance,forestcover_50,forestcover_10,year,forest10,forest50,rate10,rate50,cluster,x,y
boreal,GODBOUT,2,6,192546900,194254200,2002,215838,213941,2.7798626747838656e-5,2.8045115242052717e-5,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,3,0,192546900,194254200,2003,215838,213941,0,0,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,4,0,192546900,194254200,2004,215838,213941,0,0,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,5,5,192546900,194254200,2005,215838,213941,2.3165522289865548e-5,2.3370929368377264e-5,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,6,0,192546900,194254200,2006,215838,213941,0,0,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,7,16,192546900,194254200,2007,215838,213941,7.412967132756976e-5,7.478697397880725e-5,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,8,6,192546900,194254200,2008,215838,213941,2.7798626747838656e-5,2.8045115242052717e-5,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,9,1,192546900,194254200,2009,215838,213941,4.63310445797311e-6,4.674185873675453e-6,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,10,8,192546900,194254200,2010,215838,213941,3.706483566378488e-5,3.739348698940362e-5,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,11,1,192546900,194254200,2011,215838,213941,4.63310445797311e-6,4.674185873675453e-6,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,12,96,192546900,194254200,2012,215838,213941,4.447780279654185e-4,4.4872184387284347e-4,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,13,23,192546900,194254200,2013,215838,213941,1.0656140253338152e-4,1.075062750945354e-4,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,14,121,192546900,194254200,2014,215838,213941,5.606056394147462e-4,5.655764907147297e-4,2,-67.84602097188683,49.64752341291868
boreal,GRIDINO,1,0,19257300,29345400,2001,32606,21397,0,0,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,2,1,19257300,29345400,2002,32606,21397,3.066920198736429e-5,4.673552367154274e-5,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,3,0,19257300,29345400,2003,32606,21397,0,0,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,4,1,19257300,29345400,2004,32606,21397,3.066920198736429e-5,4.673552367154274e-5,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,5,1,19257300,29345400,2005,32606,21397,3.066920198736429e-5,4.673552367154274e-5,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,6,1,19257300,29345400,2006,32606,21397,3.066920198736429e-5,4.673552367154274e-5,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,7,4,19257300,29345400,2007,32606,21397,1.2267680794945715e-4,1.8694209468617096e-4,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,8,0,19257300,29345400,2008,32606,21397,0,0,2,34.63680250634943,65.91443761097501
