biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,GUERNESE,6,0.18,36720,2006,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,7,0.09,36720,2007,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,8,0.99,36720,2008,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,9,0.36,36720,2009,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,10,0.18,36720,2010,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,11,0.18,36720,2011,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,12,2.16,36720,2012,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,13,0.54,36720,2013,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,14,0.09,36720,2014,2,-57.895799136789165,51.87080683037174
boreal,KIVACH,1,0,0,2001,1,34.0181298039842,62.26525627915287
boreal,KIVACH,2,0,0,2002,1,34.0181298039842,62.26525627915287
boreal,KIVACH,3,0,0,2003,1,34.0181298039842,62.26525627915287
boreal,KIVACH,4,0,0,2004,1,34.0181298039842,62.26525627915287
boreal,KIVACH,5,0,0,2005,1,34.0181298039842,62.26525627915287
boreal,KIVACH,6,0,0,2006,1,34.0181298039842,62.26525627915287
boreal,KIVACH,7,0,0,2007,1,34.0181298039842,62.26525627915287
boreal,KIVACH,8,0,0,2008,1,34.0181298039842,62.26525627915287
boreal,KIVACH,9,0,0,2009,1,34.0181298039842,62.26525627915287
boreal,KIVACH,10,0,0,2010,1,34.0181298039842,62.26525627915287
boreal,KIVACH,11,0,0,2011,1,34.0181298039842,62.26525627915287
boreal,KIVACH,12,0,0,2012,1,34.0181298039842,62.26525627915287
boreal,KIVACH,13,0,0,2013,1,34.0181298039842,62.26525627915287
boreal,KIVACH,14,0,0,2014,1,34.0181298039842,62.26525627915287
boreal,KLUANE,1,26.73,158832,2001,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,2,8.549999999999999,158832,2002,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,3,10.44,158832,2003,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,4,34.199999999999996,158832,2004,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,5,0.99,158832,2005,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,6,12.42,158832,2006,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,7,20.61,158832,2007,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,8,37.98,158832,2008,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,9,12.6,158832,2009,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,10,22.41,158832,2010,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,11,24.93,158832,2011,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,12,22.77,158832,2012,1,-139.20245547778103,60.63155201858082
